Observation ID,Date,Longitude,latitude,Aspect,Area,avalanche_size,Type,Trigger,avalanche_occurred
bb51a4f6-66b2-4fbd-aa1a-1806734cba02,2021-12-10 07:00:00+00:00,-106.98013,39.15764,NE,Aspen,2.0,SS,N,1
6e1e3d32-6e88-47e3-a74a-3a840e3128e0,2021-12-10 07:00:00+00:00,-107.2902,37.9717,NE,Northern San Juan,2.0,SS,N,1
32565e95-8789-4fde-acde-3537f72d24d5,2021-12-10 07:00:00+00:00,-107.1162332,38.9287854,NE,Gunnison,2.5,SS,N,1
b498d9c7-116b-46eb-b7af-149a3f91722a,2021-12-10 07:00:00+00:00,-107.11027,38.9521461,NE,Gunnison,1.0,SS,N,1
21ce9795-3485-44fb-a7f2-ceecd7e58f00,2021-12-10 07:00:00+00:00,-106.92443,39.29493,NE,Aspen,2.5,SS,N,1
816afb65-325e-433e-a1d1-0f5ab7456385,2021-12-10 07:00:00+00:00,-106.7976576,39.0529258,NE,Aspen,1.0,SS,N,1
aa8e66af-8697-4e01-a1ed-5ad7647a2e40,2021-12-10 07:00:00+00:00,-106.80263,37.4831,N,Southern San Juan,1.5,,,1
26ff2952-7d9c-4d2e-8089-fa31259e25d1,2021-12-10 07:00:00+00:00,-107.0506643,38.8861018,SE,Gunnison,1.5,SS,N,1
877d3613-1b04-40a2-a414-81304f649a0f,2021-12-10 07:00:00+00:00,-106.9802542,38.8232417,N,Gunnison,3.0,SS,N,1
bb5bcc6a-13f8-4c4b-b9bc-80adf86b094f,2021-12-10 07:00:00+00:00,-107.1222074,39.0246926,NE,Aspen,2.0,SS,N,1
4c574e30-c03c-48d7-9d39-1aece869e06a,2021-12-10 07:00:00+00:00,-108.0976823,37.3733546,NE,Southern San Juan,2.0,SS,N,1
937d36a2-b43a-4bb5-8721-1e58fd0c9a15,2021-12-10 07:00:00+00:00,-107.1192723,38.8167246,SE,Gunnison,1.5,SS,N,1
ccbe13d6-4b69-4549-8084-5ce26b6e37b2,2021-12-10 07:00:00+00:00,-107.0395806,38.8428056,N,Gunnison,2.0,SS,N,1
bb058964-0947-4395-8237-bd22af02b0f7,2021-12-10 07:00:00+00:00,-107.7040628,37.7107396,NW,Southern San Juan,2.0,SS,N,1
b9590bca-4be3-4e7f-8dd7-56fe876efb46,2021-12-10 07:00:00+00:00,-107.0446639,38.8870031,NE,Gunnison,1.0,SS,N,1
ea74e3b2-691f-4675-b8f3-c35d77113231,2021-12-10 07:00:00+00:00,-106.9592095,39.0090289,E,Gunnison,2.0,SS,N,1
21ce9795-3485-44fb-a7f2-ceecd7e58f00,2021-12-10 07:00:00+00:00,-106.92443,39.29493,E,Aspen,2.0,SS,N,1
075487db-5f46-445e-8b11-040592aa4bd1,2021-12-10 07:00:00+00:00,-106.8146302,39.1476144,NE,Aspen,1.0,SS,N,1
4403073a-c08d-457a-86dd-1ed5b1f4410e,2021-12-10 07:00:00+00:00,-106.9056222,38.9436102,NE,Gunnison,2.0,SS,N,1
a741ca1c-fd92-4314-85b6-f01027ede415,2021-12-10 07:00:00+00:00,-107.2038045,38.8426926,E,Gunnison,2.0,SS,N,1
83589a34-bd54-4f93-b9a8-6a4994cca1d2,2021-12-10 07:00:00+00:00,-107.1217048,38.9078581,SE,Gunnison,2.5,SS,N,1
d4d85453-0791-4822-88c8-cd5e66fbda9f,2021-12-10 07:00:00+00:00,-107.0408434,38.8886781,E,Gunnison,2.0,SS,N,1
0b784950-6378-4cfe-b5ad-df06fd46c2a8,2021-12-10 07:00:00+00:00,-106.2031657,39.3758929,NE,Sawatch,1.5,SS,N,1
d71488c6-a0b1-4131-a59d-1499fcd5f13c,2021-12-10 07:00:00+00:00,-106.8285836,38.8782415,N,Gunnison,1.5,SS,N,1
6b52e5c0-7c3d-4c67-8da2-97e8b7ffc0fe,2021-12-10 07:00:00+00:00,-108.0253579,37.391722,NE,Southern San Juan,2.0,SS,N,1
baa59761-d88e-4f5a-8215-a02126a01006,2021-12-10 07:00:00+00:00,-107.044539,38.907796,NE,Gunnison,2.0,SS,N,1
d71488c6-a0b1-4131-a59d-1499fcd5f13c,2021-12-10 07:00:00+00:00,-106.8285836,38.8782415,E,Gunnison,1.5,SS,N,1
3eea1113-96a4-4aef-8d8a-f549b1b0ce3f,2021-12-10 07:00:00+00:00,-107.099254,38.9717328,NE,Gunnison,2.0,SS,N,1
21d4fefb-53ff-4f4f-b4eb-7a32fb9141c6,2021-12-10 07:00:00+00:00,-107.0985057,38.8330473,NW,Gunnison,2.0,SS,N,1
4c574e30-c03c-48d7-9d39-1aece869e06a,2021-12-10 07:00:00+00:00,-108.0976823,37.3733546,NE,Southern San Juan,1.0,SS,N,1
70063e46-5347-41a2-ad61-881f69a6c9ba,2021-12-10 07:00:00+00:00,-107.64515,37.90749,NE,Northern San Juan,1.0,SS,N,1
baa59761-d88e-4f5a-8215-a02126a01006,2021-12-10 07:00:00+00:00,-107.044539,38.907796,E,Gunnison,2.0,SS,N,1
baa59761-d88e-4f5a-8215-a02126a01006,2021-12-10 07:00:00+00:00,-107.044539,38.907796,NE,Gunnison,2.0,SS,N,1
6b52e5c0-7c3d-4c67-8da2-97e8b7ffc0fe,2021-12-10 07:00:00+00:00,-108.0253579,37.391722,E,Southern San Juan,2.0,SS,N,1
0b68636e-de47-4274-b87e-e82eb58f3b89,2021-12-10 07:00:00+00:00,-107.90921,37.81106,NE,Northern San Juan,2.0,SS,N,1
d136a011-84d8-46b6-9fa3-b64fe789ff3f,2021-12-10 07:00:00+00:00,-107.1554567,39.2640713,NE,Aspen,1.5,SS,N,1
bb51a4f6-66b2-4fbd-aa1a-1806734cba02,2021-12-10 07:00:00+00:00,-106.98013,39.15764,E,Aspen,1.0,L,N,1
80b6c0d3-e5ff-40b0-a555-38c390fae44b,2021-12-10 07:00:00+00:00,-107.1011788,38.8327531,W,Gunnison,1.5,,N,1
ac831970-23a0-44ab-a451-6451f65bc9ff,2021-12-10 07:00:00+00:00,-107.6843143,37.8941831,N,Northern San Juan,2.0,SS,N,1
6943fde9-7708-457c-972c-de043a2159fe,2021-12-10 07:00:00+00:00,-107.1077275,38.9616901,W,Gunnison,2.0,SS,N,1
c43b73b2-77a7-4606-8841-1fc95ef1f922,2021-12-10 07:00:00+00:00,-107.0631033,38.864613,NE,Gunnison,1.0,SS,N,1
877d3613-1b04-40a2-a414-81304f649a0f,2021-12-10 07:00:00+00:00,-106.9802542,38.8232417,NE,Gunnison,1.5,SS,N,1
00e1bc13-b038-43b8-a744-117fdeb77644,2021-12-10 07:00:00+00:00,-107.1032903,38.8975127,SE,Gunnison,1.5,SS,N,1
e6f7d977-9c46-4374-a7b2-f190f8aa343a,2021-12-10 07:00:00+00:00,-107.0818734,38.9440091,NE,Gunnison,2.0,SS,N,1
1ddf66e1-89fb-4a03-938b-b6650762b525,2021-12-10 07:00:00+00:00,-107.0632546,38.8886568,E,Gunnison,2.0,SS,N,1
bb058964-0947-4395-8237-bd22af02b0f7,2021-12-10 07:00:00+00:00,-107.7040628,37.7107396,NE,Southern San Juan,2.0,SS,N,1
b9590bca-4be3-4e7f-8dd7-56fe876efb46,2021-12-10 07:00:00+00:00,-107.0446639,38.8870031,SE,Gunnison,1.5,SS,N,1
082b658f-9905-4459-8d54-2adb3cabd004,2021-12-10 07:00:00+00:00,-107.1463591,39.2384878,E,Aspen,1.5,SS,N,1
994ffda5-7603-4c63-9358-d30c1b5174cd,2021-12-10 07:00:00+00:00,-107.6800901,37.8910975,N,Northern San Juan,1.5,SS,N,1
b498d9c7-116b-46eb-b7af-149a3f91722a,2021-12-10 07:00:00+00:00,-107.11027,38.9521461,E,Gunnison,2.0,SS,N,1
efb768f0-45e6-48c9-9e96-602c922ba7da,2021-12-09 07:00:00+00:00,-106.9936717,38.9395439,NE,Gunnison,1.5,SS,N,1
a6739a06-aff9-45b9-a1e4-6a216d1d9bdb,2021-12-09 07:00:00+00:00,-107.1102161,38.905506,N,Gunnison,1.0,SS,N,1
d0962725-625d-469b-abed-20caed8c9701,2021-12-09 07:00:00+00:00,-106.9998849,38.8695233,N,Gunnison,1.0,SS,N,1
e4c5be0b-56c7-4436-be79-72e3ab212b80,2021-12-09 07:00:00+00:00,-107.644043,37.8677392,E,Northern San Juan,1.0,SS,N,1
f7e2a536-b7d2-457e-8b00-7c725fd7ce49,2021-12-09 07:00:00+00:00,-106.57729,38.83853,NE,Gunnison,1.0,SS,N,1
00e1bc13-b038-43b8-a744-117fdeb77644,2021-12-09 07:00:00+00:00,-107.1032903,38.8975127,W,Gunnison,2.0,SS,N,1
30164b7d-dd77-411d-b1bc-f742d8fa9252,2021-12-09 07:00:00+00:00,-106.9833167,38.9390984,N,Gunnison,1.5,SS,N,1
e023d113-289e-4105-852a-5e9f947788e3,2021-12-09 07:00:00+00:00,-107.0871525,38.9140102,E,Gunnison,2.0,SS,N,1
30164b7d-dd77-411d-b1bc-f742d8fa9252,2021-12-09 07:00:00+00:00,-106.9833167,38.9390984,NE,Gunnison,2.0,SS,N,1
94d8ef40-b7fa-4a6d-a89a-b4f9e83fe78a,2021-12-09 07:00:00+00:00,-107.0861593,38.9387245,NE,Gunnison,2.0,SS,N,1
418cf7aa-6738-4f28-9c56-251a33f7b492,2021-12-09 07:00:00+00:00,-107.0542413,38.9898171,NW,Aspen,2.0,SS,N,1
30164b7d-dd77-411d-b1bc-f742d8fa9252,2021-12-09 07:00:00+00:00,-106.9833167,38.9390984,NE,Gunnison,1.5,SS,N,1
84031b7e-f1b9-4c4a-a6ff-fa3724e72a1f,2021-12-09 07:00:00+00:00,-107.0960972,38.8318851,E,Gunnison,2.0,SS,N,1
22f69732-3407-4f50-99d0-38b03a714a49,2021-12-09 07:00:00+00:00,-107.1210337,39.0226966,SW,Aspen,2.0,SS,N,1
efb768f0-45e6-48c9-9e96-602c922ba7da,2021-12-09 07:00:00+00:00,-106.9936717,38.9395439,NE,Gunnison,1.0,SS,N,1
efb768f0-45e6-48c9-9e96-602c922ba7da,2021-12-09 07:00:00+00:00,-106.9936717,38.9395439,N,Gunnison,1.5,SS,N,1
30164b7d-dd77-411d-b1bc-f742d8fa9252,2021-12-09 07:00:00+00:00,-106.9833167,38.9390984,NE,Gunnison,1.0,SS,N,1
b9590bca-4be3-4e7f-8dd7-56fe876efb46,2021-12-09 07:00:00+00:00,-107.0446639,38.8870031,NE,Gunnison,1.5,SS,N,1
7188a7c7-4376-4db0-a2d3-3163f5f1653a,2021-12-09 07:00:00+00:00,-107.108438,38.8218755,N,Gunnison,2.0,SS,N,1
efb768f0-45e6-48c9-9e96-602c922ba7da,2021-12-09 07:00:00+00:00,-106.9936717,38.9395439,NE,Gunnison,2.0,SS,N,1
1a067fc3-5d7e-4e86-ac2f-039db41140d8,2021-12-09 07:00:00+00:00,-107.0595204,38.9232409,E,Gunnison,2.0,SS,N,1
